entryNumber,creatureName,probableType,flags,rawSnippet
93,"Gruzz Kree (Goblin Chieftain)",classed,"raw-hd-and-hp;ambiguous-coins;attributes-physical-phrase;named-ranked-title","### 93. Gruzz Kree (Goblin Chieftain)

*This creature’s vital stats are HD 4d6, HP 18, AC 18, disposition law/evil. Their primary attributes are physical. He carries 12 gp, 50 gp.*

**Core Stats:** HP 18, AC 18, Disposition law/evil
"
94,"Goblin females x 6",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 94. Goblin females x 6

*These creatures’ vital stats are HD 1d6, HP 2, AC 12, disposition law/evil. Their primary attributes are physical.*

**Core Stats:** HP 2, AC 12, Disposition law/evil
"
95,"Cave bats x 80",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 95. Cave bats x 80

*These creatures’ vital stats are HD 1d2, HP 1, AC 12, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 1, AC 12, Disposition neutral
"
96,")",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 96. )** _

*This creature’s vital stats are HD 1d2, HP 1, AC 11, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 1, AC 11, Disposition neutral
"
97,"Snakes, poisonous",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 97. Snakes, poisonous

*This creature’s vital stats are HD 1d6, HP 4, AC 14, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 4, AC 14, Disposition neutral
"
98,"Green slime",classed,"raw-hd-and-hp;attributes-physical-phrase","### 98. Green slime

*This creature’s vital stats are HD 4d8, HP 16, AC 10, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 16, AC 10, Disposition neutral
"
99,"Rats, giant x 3-12",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 99. Rats, giant x 3-12

*These creatures’ vital stats are HD 1d4, HP 2, AC 13, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 2, AC 13, Disposition neutral
"
100,"Gray Ooze (small)",classed,"raw-hd-and-hp;attributes-physical-phrase","### 100. Gray Ooze (small)

*These creatures’ vital stats are HD 2d10, HP 15, AC 12, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 15, AC 12, Disposition neutral
"
101,"Black Centipedes, giant x 5",classed,"raw-hd-and-hp;attributes-physical-phrase","### 101. Black Centipedes, giant x 5

*These creatures’ vital stats are HD 1d4, HP 2, AC 18, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 2, AC 18, Disposition neutral
"
102,"Orcs x 3",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 102. Orcs x 3

*These creatures’ vital stats are HD 1d8, HP 5, AC 14, disposition law/evil. Their primary attributes are physical.*

**Core Stats:** HP 5, AC 14, Disposition law/evil
"
103,"Orcs x 4",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 103. Orcs x 4

*These creatures’ vital stats are HD 1d8, HP 5, AC 14, disposition law/evil. Their primary attributes are physical.*

**Core Stats:** HP 5, AC 14, Disposition law/evil
"
104,"Orcs x 6",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 104. Orcs x 6

*These creatures’ vital stats are HD 1d8, HP 5, AC 14, disposition law/evil. Their primary attributes are physical.*

**Core Stats:** HP 5, AC 14, Disposition law/evil
"
105,"Orc Guards x 2",classed,"raw-hd-and-hp;attributes-physical-phrase","### 105. Orc Guards x 2

*These guards’ vital stats are HD 1d8, HP 7, AC 14, disposition law/evil. Their primary attributes are physical.*

**Core Stats:** HP 7, AC 14, Disposition law/evil
"
106,"King Krusher (Orc Leader)",classed,"raw-hd-and-hp;attributes-physical-phrase;named-ranked-title","### 106. King Krusher (Orc Leader)

*This creature’s vital stats are HD 3d8, HP 20, AC 18, disposition law/evil. Their primary attributes are physical. He carries 30 gold in coin.*

**Core Stats:** HP 20, AC 18, Disposition law/evil
"
107,"Orc chieftain's mate",classed,"raw-hd-and-hp;attributes-physical-phrase;named-ranked-title","### 107. Orc chieftain's mate

*This creature’s vital stats are HD 1d8, HP 4, AC 12, disposition law/evil. Their primary attributes are physical. He carries a 4-inch knife, and 100 gold in coin.*

**Core Stats:** HP 4, AC 12, Disposition law/evil
"
108,"Orcs x 4",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 108. Orcs x 4

*These creatures’ vital stats are HD 1d8, HP 5, AC 14, disposition law/evil. Their primary attributes are physical.*

**Core Stats:** HP 5, AC 14, Disposition law/evil
"
109,"Orc lieutenant",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 109. Orc lieutenant

*This creature’s vital stats are HD 2d8, HP 12, AC 14, disposition law/evil. Their primary attributes are physical. He carries 30 gold in coin.*

**Core Stats:** HP 12, AC 14, Disposition law/evil
"
110,"Zombies x 6",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 110. Zombies x 6

*These creatures’ vital stats are HD 2d12, HP 12, AC 12, disposition neutral/evil. Their primary attributes are physical.*

**Core Stats:** HP 12, AC 12, Disposition neutral/evil
"
111,"Skeletons x 8",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 111. Skeletons x 8

*These creatures’ vital stats are HD 1d12, HP 8, AC 13, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 8, AC 13, Disposition neutral
"
112,"Wily Wil, Giant of the Hill",classed,"raw-hd-and-hp;attributes-physical-phrase","### 112. Wily Wil, Giant of the Hill

*These creatures’ vital stats are HD 9d12, HP 63, AC 17, disposition chaos/neutral. Their primary attributes are physical. They wear hide armors and a large leather sack that contains two boulders and carry a soiled pair of underdrawers, a huge old hams, a comic scrolls, 3 lumps of rock candies, and other assorted trashs.*

**Core Stats:** HP 63, AC 17, Disposition chaos/neutral
"
113,"""Pinky"" the Owlbear",classed,"raw-hd-and-hp;attributes-physical-phrase","### 113. ""Pinky"" the Owlbear

*This creature’s vital stats are HD 4d10, HP 27, AC 13, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 27, AC 13, Disposition neutral
"
114,"Black Bear",classed,"raw-hd-and-hp;attributes-physical-phrase","### 114. Black Bear

*This creature’s vital stats are HD 3d8, HP 15, AC 13, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 15, AC 13, Disposition neutral
"
115,"Black Bear cubs x 2",classed,"raw-hd-and-hp;attributes-physical-phrase","### 115. Black Bear cubs x 2

*These creatures’ vital stats are HD 1d8, HP 6, AC 12, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 6, AC 12, Disposition neutral
"
116,"River Rats, giant x 40",classed,"raw-hd-and-hp;attributes-physical-phrase","### 116. River Rats, giant x 40

*These creatures’ vital stats are HD 1d4, HP 2, AC 13, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 2, AC 13, Disposition neutral
"
117,"Stirges x 8",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 117. Stirges x 8

*These creatures’ vital stats are HD 1d6, HP 3, AC 16, disposition neutral. Their primary attributes are physical.*

**Core Stats:** HP 3, AC 16, Disposition neutral
"
118,"Bugbears x 3",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 118. Bugbears x 3

*These creatures’ vital stats are HD 3d10, HP 17, AC 16, disposition chaos/evil. Their primary attributes are physical. They carry 6 gold in coin.*

**Core Stats:** HP 17, AC 16, Disposition chaos/evil
"
119,"Hobgoblin sentries x 2",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 119. Hobgoblin sentries x 2

*These creatures’ vital stats are HD 1d10, HP 8, AC 15, disposition law/evil. Their primary attributes are physical. They wear chain mail armors and carry wield composite short bows, x12 arrows, battle-axes, and 2d4 gp eachs, and 4 gold in coin.*

**Core Stats:** HP 8, AC 15, Disposition law/evil
"
120,"Hobgoblin males x 2 or 4",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 120. Hobgoblin males x 2 or 4

*These creatures’ vital stats are HD 1d10, HP 6, AC 15, disposition law/evil. Their primary attributes are physical. They wear crude chain mail armors and carry wield halberds and 2d4 gp eachs, and 4 gold in coin.*

**Core Stats:** HP 6, AC 15, Disposition law/evil
"
121,"Hobgoblin females x 9",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 121. Hobgoblin females x 9

*These creatures’ vital stats are HD 1d6, HP 3, AC 12, disposition law/evil. Their primary attributes are physical.*

**Core Stats:** HP 3, AC 12, Disposition law/evil
"
122,"Hobgoblin warriors x 2",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 122. Hobgoblin warriors x 2

*These warriors’ vital stats are HD 1d10, HP 8, AC 15, disposition law/evil. Their primary attributes are physical. They carry 4 gold in coin.*

**Core Stats:** HP 8, AC 15, Disposition law/evil
"
123,"Hub-Gub the Bloody (Hobgoblin Chieftain)",classed,"raw-hd-and-hp;attributes-physical-phrase;named-ranked-title","### 123. Hub-Gub the Bloody (Hobgoblin Chieftain)

*This creature’s vital stats are HD 3d10, HP 18, AC 16, disposition law/evil. Their primary attributes are physical. He wears full chain mail armor and carries *wields a +1 halberd [+4 ""to hit""; 1d10+3 damage]—+1 bonus*, *broadsword [+3 ""to hit""; 2d4+2 damage]—+3 bonus*, composite short bow, and 12 arrows, and 12 gold in coin.*

**Core Stats:** HP 18, AC 16, Disposition law/evil
"
124,"Hobgoblin females x 3",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 124. Hobgoblin females x 3

*These creatures’ vital stats are HD 1d6, HP 3, AC 12, disposition law/evil. Their primary attributes are physical. They carry 2 gold in coin.*

**Core Stats:** HP 3, AC 12, Disposition law/evil
"
125,"Gnoll sentries x 2",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 125. Gnoll sentries x 2

*These creatures’ vital stats are HD 2d10, HP 12, AC 15, disposition chaos/evil. Their primary attributes are physical. They carry 4 gold in coin.*

**Core Stats:** HP 12, AC 15, Disposition chaos/evil
"
126,"Gnoll males x 4",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 126. Gnoll males x 4

*These creatures’ vital stats are HD 2d10, HP 12, AC 15, disposition chaos/evil. Their primary attributes are physical. They carry 4 gold in coin.*

**Core Stats:** HP 12, AC 15, Disposition chaos/evil
"
127,"Gnoll females x 5",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 127. Gnoll females x 5

*These creatures’ vital stats are HD 1d10, HP 5, AC 12, disposition chaos/evil. Their primary attributes are physical. They carry 4 silver in coin.*

**Core Stats:** HP 5, AC 12, Disposition chaos/evil
"
128,"Gnoll guards x 2",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase","### 128. Gnoll guards x 2

*These guards’ vital stats are HD 2d10, HP 14, AC 15, disposition chaos/evil. Their primary attributes are physical. They carry 4 gold in coin.*

**Core Stats:** HP 14, AC 15, Disposition chaos/evil
"
129,"Yeexuul (Gnoll Chieftain)",ambiguous,"HP+HD;raw-hd-and-hp;attributes-physical-phrase;named-ranked-title","### 129. Yeexuul (Gnoll Chieftain)

*This creature’s vital stats are HD 3d10, HP 20, AC 17, disposition chaos/evil. Their primary attributes are physical. He wears plate mail armor and carries wields a throwing club, morning star, and 10-inch knife, and 24 gold in coin.*

**Core Stats:** HP 20, AC 17, Disposition chaos/evil
"
